assetUid,sourceProfileId,sellerDisplayName,assetClass,category,subcategory,title,brand,marketReferenceBrands,price,totalAmount,mediaStatus,coverFile
v35-seed-p004-asset-002,P004,Bogota Coffee Shop,physical_goods,agri_food,coffee,Bogota Coffee Seed Green Coffee Sample Set,Bogota Coffee Seed,Blue Bottle|Lavazza|Illy|Nespresso,9 USDT,124,pending_verified_license_source,
v35-seed-p004-asset-003,P004,Bogota Coffee Shop,agent_services,agent_services,procurement_agent,Bogota Coffee Seed Procurement Agent Research Pack,Bogota Coffee Seed,,89 USDT,16,pending_verified_license_source,
v35-seed-p005-asset-001,P005,Singapore Coffee Shop,physical_goods,agri_food,coffee,Singapore Coffee Seed Reserve Arabica Whole Bean Lot,Singapore Coffee Seed,Blue Bottle|Lavazza|Illy|Nespresso,14.42 USDT,80,pending_verified_license_source,
v35-seed-p005-asset-002,P005,Singapore Coffee Shop,physical_goods,agri_food,coffee,Singapore Coffee Seed Green Coffee Sample Set,Singapore Coffee Seed,Blue Bottle|Lavazza|Illy|Nespresso,9.27 USDT,120,pending_verified_license_source,
v35-seed-p005-asset-003,P005,Singapore Coffee Shop,service_rights,service_rights,logistics_services,Singapore Coffee Seed Sourcing and Inspection Service Pass,Singapore Coffee Seed,,123.60 USDT,20,pending_verified_license_source,
v35-seed-p006-asset-001,P006,Rotterdam Coffee Shop,physical_goods,agri_food,coffee,Rotterdam Coffee Seed Reserve Arabica Whole Bean Lot,Rotterdam Coffee Seed,Blue Bottle|Lavazza|Illy|Nespresso,14.84 USDT,81,pending_verified_license_source,
v35-seed-p006-asset-002,P006,Rotterdam Coffee Shop,physical_goods,agri_food,coffee,Rotterdam Coffee Seed Green Coffee Sample Set,Rotterdam Coffee Seed,Blue Bottle|Lavazza|Illy|Nespresso,9.54 USDT,121,pending_verified_license_source,
v35-seed-p006-asset-003,P006,Rotterdam Coffee Shop,agent_services,agent_services,procurement_agent,Rotterdam Coffee Seed Procurement Agent Research Pack,Rotterdam Coffee Seed,,94.34 USDT,13,pending_verified_license_source,
v35-seed-p007-asset-001,P007,Dubai Coffee Shop,physical_goods,agri_food,coffee,Dubai Coffee Seed Reserve Arabica Whole Bean Lot,Dubai Coffee Seed,Blue Bottle|Lavazza|Illy|Nespresso,15.26 USDT,82,pending_verified_license_source,
v35-seed-p007-asset-002,P007,Dubai Coffee Shop,physical_goods,agri_food,coffee,Dubai Coffee Seed Green Coffee Sample Set,Dubai Coffee Seed,Blue Bottle|Lavazza|Illy|Nespresso,9.81 USDT,122,pending_verified_license_source,
v35-seed-p007-asset-003,P007,Dubai Coffee Shop,service_rights,service_rights,logistics_services,Dubai Coffee Seed Sourcing and Inspection Service Pass,Dubai Coffee Seed,,130.80 USDT,22,pending_verified_license_source,
v35-seed-p008-asset-001,P008,Istanbul Coffee Shop,physical_goods,agri_food,coffee,Istanbul Coffee Seed Reserve Arabica Whole Bean Lot,Istanbul Coffee Seed,Blue Bottle|Lavazza|Illy|Nespresso,14 USDT,83,pending_verified_license_source,
v35-seed-p008-asset-002,P008,Istanbul Coffee Shop,physical_goods,agri_food,coffee,Istanbul Coffee Seed Green Coffee Sample Set,Istanbul Coffee Seed,Blue Bottle|Lavazza|Illy|Nespresso,9 USDT,123,pending_verified_license_source,
v35-seed-p008-asset-003,P008,Istanbul Coffee Shop,agent_services,agent_services,procurement_agent,Istanbul Coffee Seed Procurement Agent Research Pack,Istanbul Coffee Seed,,89 USDT,15,pending_verified_license_source,
v35-seed-p009-asset-001,P009,Melbourne Coffee Shop,physical_goods,agri_food,coffee,Melbourne Coffee Seed Reserve Arabica Whole Bean Lot,Melbourne Coffee Seed,Blue Bottle|Lavazza|Illy|Nespresso,14.42 USDT,84,pending_verified_license_source,
v35-seed-p009-asset-002,P009,Melbourne Coffee Shop,physical_goods,agri_food,coffee,Melbourne Coffee Seed Green Coffee Sample Set,Melbourne Coffee Seed,Blue Bottle|Lavazza|Illy|Nespresso,9.27 USDT,124,pending_verified_license_source,
v35-seed-p009-asset-003,P009,Melbourne Coffee Shop,service_rights,service_rights,logistics_services,Melbourne Coffee Seed Sourcing and Inspection Service Pass,Melbourne Coffee Seed,,123.60 USDT,24,pending_verified_license_source,
v35-seed-p010-asset-001,P010,Seattle Coffee Shop,physical_goods,agri_food,coffee,Seattle Coffee Seed Reserve Arabica Whole Bean Lot,Seattle Coffee Seed,Blue Bottle|Lavazza|Illy|Nespresso,14.84 USDT,80,pending_verified_license_source,
v35-seed-p010-asset-002,P010,Seattle Coffee Shop,physical_goods,agri_food,coffee,Seattle Coffee Seed Green Coffee Sample Set,Seattle Coffee Seed,Blue Bottle|Lavazza|Illy|Nespresso,9.54 USDT,120,pending_verified_license_source,
v35-seed-p010-asset-003,P010,Seattle Coffee Shop,agent_services,agent_services,procurement_agent,Seattle Coffee Seed Procurement Agent Research Pack,Seattle Coffee Seed,,94.34 USDT,12,pending_verified_license_source,
v35-seed-p011-asset-001,P011,Cape Town Coffee Shop,physical_goods,agri_food,coffee,Cape Town Coffee Seed Reserve Arabica Whole Bean Lot,Cape Town Coffee Seed,Blue Bottle|Lavazza|Illy|Nespresso,15.26 USDT,81,pending_verified_license_source,
v35-seed-p011-asset-002,P011,Cape Town Coffee Shop,physical_goods,agri_food,coffee,Cape Town Coffee Seed Green Coffee Sample Set,Cape Town Coffee Seed,Blue Bottle|Lavazza|Illy|Nespresso,9.81 USDT,121,pending_verified_license_source,
v35-seed-p011-asset-003,P011,Cape Town Coffee Shop,service_rights,service_rights,logistics_services,Cape Town Coffee Seed Sourcing and Inspection Service Pass,Cape Town Coffee Seed,,130.80 USDT,21,pending_verified_license_source,
v35-seed-p012-asset-001,P012,Lisbon Coffee Shop,physical_goods,agri_food,coffee,Lisbon Coffee Seed Reserve Arabica Whole Bean Lot,Lisbon Coffee Seed,Blue Bottle|Lavazza|Illy|Nespresso,14 USDT,82,pending_verified_license_source,
v35-seed-p012-asset-002,P012,Lisbon Coffee Shop,physical_goods,agri_food,coffee,Lisbon Coffee Seed Green Coffee Sample Set,Lisbon Coffee Seed,Blue Bottle|Lavazza|Illy|Nespresso,9 USDT,122,pending_verified_license_source,
v35-seed-p012-asset-003,P012,Lisbon Coffee Shop,agent_services,agent_services,procurement_agent,Lisbon Coffee Seed Procurement Agent Research Pack,Lisbon Coffee Seed,,89 USDT,14,pending_verified_license_source,
v35-seed-p013-asset-001,P013,Seoul Coffee Shop,physical_goods,agri_food,coffee,Seoul Coffee Seed Reserve Arabica Whole Bean Lot,Seoul Coffee Seed,Blue Bottle|Lavazza|Illy|Nespresso,14.42 USDT,83,pending_verified_license_source,
v35-seed-p013-asset-002,P013,Seoul Coffee Shop,physical_goods,agri_food,coffee,Seoul Coffee Seed Green Coffee Sample Set,Seoul Coffee Seed,Blue Bottle|Lavazza|Illy|Nespresso,9.27 USDT,123,pending_verified_license_source,
v35-seed-p013-asset-003,P013,Seoul Coffee Shop,service_rights,service_rights,logistics_services,Seoul Coffee Seed Sourcing and Inspection Service Pass,Seoul Coffee Seed,,123.60 USDT,23,pending_verified_license_source,
v35-seed-p014-asset-001,P014,Milan Apparel Shop,physical_goods,fashion_textiles,garments,Milan Apparel Seed Organic Cotton Core Shirt Pack,Milan Apparel Seed,Uniqlo|Patagonia|Everlane|Levi Strauss,29.68 USDT,64,pending_verified_license_source,
v35-seed-p014-asset-002,P014,Milan Apparel Shop,physical_goods,fashion_textiles,garments,Milan Apparel Seed Linen Blend Resort Set,Milan Apparel Seed,Uniqlo|Patagonia|Everlane|Levi Strauss,44.52 USDT,49,pending_verified_license_source,
v35-seed-p014-asset-003,P014,Milan Apparel Shop,agent_services,agent_services,procurement_agent,Milan Apparel Seed Procurement Agent Research Pack,Milan Apparel Seed,,94.34 USDT,16,pending_verified_license_source,
v35-seed-p015-asset-001,P015,Paris Apparel Shop,physical_goods,fashion_textiles,garments,Paris Apparel Seed Organic Cotton Core Shirt Pack,Paris Apparel Seed,Uniqlo|Patagonia|Everlane|Levi Strauss,30.52 USDT,60,pending_verified_license_source,
v35-seed-p015-asset-002,P015,Paris Apparel Shop,physical_goods,fashion_textiles,garments,Paris Apparel Seed Linen Blend Resort Set,Paris Apparel Seed,Uniqlo|Patagonia|Everlane|Levi Strauss,45.78 USDT,45,pending_verified_license_source,
v35-seed-p015-asset-003,P015,Paris Apparel Shop,service_rights,service_rights,logistics_services,Paris Apparel Seed Sourcing and Inspection Service Pass,Paris Apparel Seed,,130.80 USDT,20,pending_verified_license_source,
v35-seed-p016-asset-001,P016,London Apparel Shop,physical_goods,fashion_textiles,garments,London Apparel Seed Organic Cotton Core Shirt Pack,London Apparel Seed,Uniqlo|Patagonia|Everlane|Levi Strauss,28 USDT,61,pending_verified_license_source,
v35-seed-p016-asset-002,P016,London Apparel Shop,physical_goods,fashion_textiles,garments,London Apparel Seed Linen Blend Resort Set,London Apparel Seed,Uniqlo|Patagonia|Everlane|Levi Strauss,42 USDT,46,pending_verified_license_source,
v35-seed-p016-asset-003,P016,London Apparel Shop,agent_services,agent_services,procurement_agent,London Apparel Seed Procurement Agent Research Pack,London Apparel Seed,,89 USDT,13,pending_verified_license_source,
v35-seed-p017-asset-001,P017,Barcelona Apparel Shop,physical_goods,fashion_textiles,garments,Barcelona Apparel Seed Organic Cotton Core Shirt Pack,Barcelona Apparel Seed,Uniqlo|Patagonia|Everlane|Levi Strauss,28.84 USDT,62,pending_verified_license_source,
v35-seed-p017-asset-002,P017,Barcelona Apparel Shop,physical_goods,fashion_textiles,garments,Barcelona Apparel Seed Linen Blend Resort Set,Barcelona Apparel Seed,Uniqlo|Patagonia|Everlane|Levi Strauss,43.26 USDT,47,pending_verified_license_source,
v35-seed-p017-asset-003,P017,Barcelona Apparel Shop,service_rights,service_rights,logistics_services,Barcelona Apparel Seed Sourcing and Inspection Service Pass,Barcelona Apparel Seed,,123.60 USDT,22,pending_verified_license_source,
v35-seed-p018-asset-001,P018,Tokyo Apparel Shop,physical_goods,fashion_textiles,garments,Tokyo Apparel Seed Organic Cotton Core Shirt Pack,Tokyo Apparel Seed,Uniqlo|Patagonia|Everlane|Levi Strauss,29.68 USDT,63,pending_verified_license_source,
v35-seed-p018-asset-002,P018,Tokyo Apparel Shop,physical_goods,fashion_textiles,garments,Tokyo Apparel Seed Linen Blend Resort Set,Tokyo Apparel Seed,Uniqlo|Patagonia|Everlane|Levi Strauss,44.52 USDT,48,pending_verified_license_source,
v35-seed-p018-asset-003,P018,Tokyo Apparel Shop,agent_services,agent_services,procurement_agent,Tokyo Apparel Seed Procurement Agent Research Pack,Tokyo Apparel Seed,,94.34 USDT,15,pending_verified_license_source,
v35-seed-p019-asset-001,P019,Seoul Apparel Shop,physical_goods,fashion_textiles,garments,Seoul Apparel Seed Organic Cotton Core Shirt Pack,Seoul Apparel Seed,Uniqlo|Patagonia|Everlane|Levi Strauss,30.52 USDT,64,pending_verified_license_source,
v35-seed-p019-asset-002,P019,Seoul Apparel Shop,physical_goods,fashion_textiles,garments,Seoul Apparel Seed Linen Blend Resort Set,Seoul Apparel Seed,Uniqlo|Patagonia|Everlane|Levi Strauss,45.78 USDT,49,pending_verified_license_source,
v35-seed-p019-asset-003,P019,Seoul Apparel Shop,service_rights,service_rights,logistics_services,Seoul Apparel Seed Sourcing and Inspection Service Pass,Seoul Apparel Seed,,130.80 USDT,24,pending_verified_license_source,
v35-seed-p020-asset-001,P020,Los Angeles Apparel Shop,physical_goods,fashion_textiles,garments,Los Angeles Apparel Seed Organic Cotton Core Shirt Pack,Los Angeles Apparel Seed,Uniqlo|Patagonia|Everlane|Levi Strauss,28 USDT,60,pending_verified_license_source,
v35-seed-p020-asset-002,P020,Los Angeles Apparel Shop,physical_goods,fashion_textiles,garments,Los Angeles Apparel Seed Linen Blend Resort Set,Los Angeles Apparel Seed,Uniqlo|Patagonia|Everlane|Levi Strauss,42 USDT,45,pending_verified_license_source,
v35-seed-p020-asset-003,P020,Los Angeles Apparel Shop,agent_services,agent_services,procurement_agent,Los Angeles Apparel Seed Procurement Agent Research Pack,Los Angeles Apparel Seed,,89 USDT,12,pending_verified_license_source,
v35-seed-p021-asset-001,P021,New York Apparel Shop,physical_goods,fashion_textiles,garments,New York Apparel Seed Organic Cotton Core Shirt Pack,New York Apparel Seed,Uniqlo|Patagonia|Everlane|Levi Strauss,28.84 USDT,61,pending_verified_license_source,
v35-seed-p021-asset-002,P021,New York Apparel Shop,physical_goods,fashion_textiles,garments,New York Apparel Seed Linen Blend Resort Set,New York Apparel Seed,Uniqlo|Patagonia|Everlane|Levi Strauss,43.26 USDT,46,pending_verified_license_source,
v35-seed-p021-asset-003,P021,New York Apparel Shop,service_rights,service_rights,logistics_services,New York Apparel Seed Sourcing and Inspection Service Pass,New York Apparel Seed,,123.60 USDT,21,pending_verified_license_source,
v35-seed-p022-asset-001,P022,Mexico City Apparel Shop,physical_goods,fashion_textiles,garments,Mexico City Apparel Seed Organic Cotton Core Shirt Pack,Mexico City Apparel Seed,Uniqlo|Patagonia|Everlane|Levi Strauss,29.68 USDT,62,pending_verified_license_source,
v35-seed-p022-asset-002,P022,Mexico City Apparel Shop,physical_goods,fashion_textiles,garments,Mexico City Apparel Seed Linen Blend Resort Set,Mexico City Apparel Seed,Uniqlo|Patagonia|Everlane|Levi Strauss,44.52 USDT,47,pending_verified_license_source,
v35-seed-p022-asset-003,P022,Mexico City Apparel Shop,agent_services,agent_services,procurement_agent,Mexico City Apparel Seed Procurement Agent Research Pack,Mexico City Apparel Seed,,94.34 USDT,14,pending_verified_license_source,
v35-seed-p023-asset-001,P023,Bangkok Apparel Shop,physical_goods,fashion_textiles,garments,Bangkok Apparel Seed Organic Cotton Core Shirt Pack,Bangkok Apparel Seed,Uniqlo|Patagonia|Everlane|Levi Strauss,30.52 USDT,63,pending_verified_license_source,
v35-seed-p023-asset-002,P023,Bangkok Apparel Shop,physical_goods,fashion_textiles,garments,Bangkok Apparel Seed Linen Blend Resort Set,Bangkok Apparel Seed,Uniqlo|Patagonia|Everlane|Levi Strauss,45.78 USDT,48,pending_verified_license_source,
v35-seed-p023-asset-003,P023,Bangkok Apparel Shop,service_rights,service_rights,logistics_services,Bangkok Apparel Seed Sourcing and Inspection Service Pass,Bangkok Apparel Seed,,130.80 USDT,23,pending_verified_license_source,
v35-seed-p024-asset-001,P024,Jakarta Apparel Shop,physical_goods,fashion_textiles,garments,Jakarta Apparel Seed Organic Cotton Core Shirt Pack,Jakarta Apparel Seed,Uniqlo|Patagonia|Everlane|Levi Strauss,28 USDT,64,pending_verified_license_source,
v35-seed-p024-asset-002,P024,Jakarta Apparel Shop,physical_goods,fashion_textiles,garments,Jakarta Apparel Seed Linen Blend Resort Set,Jakarta Apparel Seed,Uniqlo|Patagonia|Everlane|Levi Strauss,42 USDT,49,pending_verified_license_source,
v35-seed-p024-asset-003,P024,Jakarta Apparel Shop,agent_services,agent_services,procurement_agent,Jakarta Apparel Seed Procurement Agent Research Pack,Jakarta Apparel Seed,,89 USDT,16,pending_verified_license_source,
v35-seed-p025-asset-001,P025,Mumbai Apparel Shop,physical_goods,fashion_textiles,garments,Mumbai Apparel Seed Organic Cotton Core Shirt Pack,Mumbai Apparel Seed,Uniqlo|Patagonia|Everlane|Levi Strauss,28.84 USDT,60,pending_verified_license_source,
v35-seed-p025-asset-002,P025,Mumbai Apparel Shop,physical_goods,fashion_textiles,garments,Mumbai Apparel Seed Linen Blend Resort Set,Mumbai Apparel Seed,Uniqlo|Patagonia|Everlane|Levi Strauss,43.26 USDT,45,pending_verified_license_source,
v35-seed-p025-asset-003,P025,Mumbai Apparel Shop,service_rights,service_rights,logistics_services,Mumbai Apparel Seed Sourcing and Inspection Service Pass,Mumbai Apparel Seed,,123.60 USDT,20,pending_verified_license_source,
v35-seed-p026-asset-001,P026,Istanbul Apparel Shop,physical_goods,fashion_textiles,garments,Istanbul Apparel Seed Organic Cotton Core Shirt Pack,Istanbul Apparel Seed,Uniqlo|Patagonia|Everlane|Levi Strauss,29.68 USDT,61,pending_verified_license_source,
v35-seed-p026-asset-002,P026,Istanbul Apparel Shop,physical_goods,fashion_textiles,garments,Istanbul Apparel Seed Linen Blend Resort Set,Istanbul Apparel Seed,Uniqlo|Patagonia|Everlane|Levi Strauss,44.52 USDT,46,pending_verified_license_source,
v35-seed-p026-asset-003,P026,Istanbul Apparel Shop,agent_services,agent_services,procurement_agent,Istanbul Apparel Seed Procurement Agent Research Pack,Istanbul Apparel Seed,,94.34 USDT,13,pending_verified_license_source,
v35-seed-p027-asset-001,P027,Copenhagen Living Shop,physical_goods,home_living,furniture,Copenhagen Living Seed Modular Oak Shelf Unit,Copenhagen Living Seed,IKEA|Herman Miller|Muji|West Elm,196.20 USDT,26,pending_verified_license_source,
v35-seed-p027-asset-002,P027,Copenhagen Living Shop,physical_goods,home_living,furniture,Copenhagen Living Seed Compact Lounge Chair,Copenhagen Living Seed,IKEA|Herman Miller|Muji|West Elm,283.40 USDT,20,pending_verified_license_source,
v35-seed-p027-asset-003,P027,Copenhagen Living Shop,service_rights,service_rights,logistics_services,Copenhagen Living Seed Sourcing and Inspection Service Pass,Copenhagen Living Seed,,130.80 USDT,22,pending_verified_license_source,
v35-seed-p028-asset-001,P028,Stockholm Living Shop,physical_goods,home_living,furniture,Stockholm Living Seed Modular Oak Shelf Unit,Stockholm Living Seed,IKEA|Herman Miller|Muji|West Elm,180 USDT,27,pending_verified_license_source,
v35-seed-p028-asset-002,P028,Stockholm Living Shop,physical_goods,home_living,furniture,Stockholm Living Seed Compact Lounge Chair,Stockholm Living Seed,IKEA|Herman Miller|Muji|West Elm,260 USDT,21,pending_verified_license_source,
v35-seed-p028-asset-003,P028,Stockholm Living Shop,agent_services,agent_services,procurement_agent,Stockholm Living Seed Procurement Agent Research Pack,Stockholm Living Seed,,89 USDT,15,pending_verified_license_source,
v35-seed-p029-asset-001,P029,Berlin Living Shop,physical_goods,home_living,furniture,Berlin Living Seed Modular Oak Shelf Unit,Berlin Living Seed,IKEA|Herman Miller|Muji|West Elm,185.40 USDT,28,pending_verified_license_source,
v35-seed-p029-asset-002,P029,Berlin Living Shop,physical_goods,home_living,furniture,Berlin Living Seed Compact Lounge Chair,Berlin Living Seed,IKEA|Herman Miller|Muji|West Elm,267.80 USDT,22,pending_verified_license_source,
v35-seed-p029-asset-003,P029,Berlin Living Shop,service_rights,service_rights,logistics_services,Berlin Living Seed Sourcing and Inspection Service Pass,Berlin Living Seed,,123.60 USDT,24,pending_verified_license_source,
v35-seed-p030-asset-001,P030,Amsterdam Living Shop,physical_goods,home_living,furniture,Amsterdam Living Seed Modular Oak Shelf Unit,Amsterdam Living Seed,IKEA|Herman Miller|Muji|West Elm,190.80 USDT,24,pending_verified_license_source,
v35-seed-p030-asset-002,P030,Amsterdam Living Shop,physical_goods,home_living,furniture,Amsterdam Living Seed Compact Lounge Chair,Amsterdam Living Seed,IKEA|Herman Miller|Muji|West Elm,275.60 USDT,18,pending_verified_license_source,
v35-seed-p030-asset-003,P030,Amsterdam Living Shop,agent_services,agent_services,procurement_agent,Amsterdam Living Seed Procurement Agent Research Pack,Amsterdam Living Seed,,94.34 USDT,12,pending_verified_license_source,
v35-seed-p031-asset-001,P031,Singapore Living Shop,physical_goods,home_living,furniture,Singapore Living Seed Modular Oak Shelf Unit,Singapore Living Seed,IKEA|Herman Miller|Muji|West Elm,196.20 USDT,25,pending_verified_license_source,
v35-seed-p031-asset-002,P031,Singapore Living Shop,physical_goods,home_living,furniture,Singapore Living Seed Compact Lounge Chair,Singapore Living Seed,IKEA|Herman Miller|Muji|West Elm,283.40 USDT,19,pending_verified_license_source,
v35-seed-p031-asset-003,P031,Singapore Living Shop,service_rights,service_rights,logistics_services,Singapore Living Seed Sourcing and Inspection Service Pass,Singapore Living Seed,,130.80 USDT,21,pending_verified_license_source,
v35-seed-p032-asset-001,P032,Sydney Living Shop,physical_goods,home_living,furniture,Sydney Living Seed Modular Oak Shelf Unit,Sydney Living Seed,IKEA|Herman Miller|Muji|West Elm,180 USDT,26,pending_verified_license_source,
v35-seed-p032-asset-002,P032,Sydney Living Shop,physical_goods,home_living,furniture,Sydney Living Seed Compact Lounge Chair,Sydney Living Seed,IKEA|Herman Miller|Muji|West Elm,260 USDT,20,pending_verified_license_source,
v35-seed-p032-asset-003,P032,Sydney Living Shop,agent_services,agent_services,procurement_agent,Sydney Living Seed Procurement Agent Research Pack,Sydney Living Seed,,89 USDT,14,pending_verified_license_source,
v35-seed-p033-asset-001,P033,Toronto Living Shop,physical_goods,home_living,furniture,Toronto Living Seed Modular Oak Shelf Unit,Toronto Living Seed,IKEA|Herman Miller|Muji|West Elm,185.40 USDT,27,pending_verified_license_source,
v35-seed-p033-asset-002,P033,Toronto Living Shop,physical_goods,home_living,furniture,Toronto Living Seed Compact Lounge Chair,Toronto Living Seed,IKEA|Herman Miller|Muji|West Elm,267.80 USDT,21,pending_verified_license_source,
v35-seed-p033-asset-003,P033,Toronto Living Shop,service_rights,service_rights,logistics_services,Toronto Living Seed Sourcing and Inspection Service Pass,Toronto Living Seed,,123.60 USDT,23,pending_verified_license_source,
v35-seed-p034-asset-001,P034,Vancouver Living Shop,physical_goods,home_living,furniture,Vancouver Living Seed Modular Oak Shelf Unit,Vancouver Living Seed,IKEA|Herman Miller|Muji|West Elm,190.80 USDT,28,pending_verified_license_source,
v35-seed-p034-asset-002,P034,Vancouver Living Shop,physical_goods,home_living,furniture,Vancouver Living Seed Compact Lounge Chair,Vancouver Living Seed,IKEA|Herman Miller|Muji|West Elm,275.60 USDT,22,pending_verified_license_source,
v35-seed-p034-asset-003,P034,Vancouver Living Shop,agent_services,agent_services,procurement_agent,Vancouver Living Seed Procurement Agent Research Pack,Vancouver Living Seed,,94.34 USDT,16,pending_verified_license_source,
v35-seed-p035-asset-001,P035,Dubai Living Shop,physical_goods,home_living,furniture,Dubai Living Seed Modular Oak Shelf Unit,Dubai Living Seed,IKEA|Herman Miller|Muji|West Elm,196.20 USDT,24,pending_verified_license_source,
v35-seed-p035-asset-002,P035,Dubai Living Shop,physical_goods,home_living,furniture,Dubai Living Seed Compact Lounge Chair,Dubai Living Seed,IKEA|Herman Miller|Muji|West Elm,283.40 USDT,18,pending_verified_license_source,
v35-seed-p035-asset-003,P035,Dubai Living Shop,service_rights,service_rights,logistics_services,Dubai Living Seed Sourcing and Inspection Service Pass,Dubai Living Seed,,130.80 USDT,20,pending_verified_license_source,
v35-seed-p036-asset-001,P036,Hong Kong Living Shop,physical_goods,home_living,furniture,Hong Kong Living Seed Modular Oak Shelf Unit,Hong Kong Living Seed,IKEA|Herman Miller|Muji|West Elm,180 USDT,25,pending_verified_license_source,
v35-seed-p036-asset-002,P036,Hong Kong Living Shop,physical_goods,home_living,furniture,Hong Kong Living Seed Compact Lounge Chair,Hong Kong Living Seed,IKEA|Herman Miller|Muji|West Elm,260 USDT,19,pending_verified_license_source,
v35-seed-p036-asset-003,P036,Hong Kong Living Shop,agent_services,agent_services,procurement_agent,Hong Kong Living Seed Procurement Agent Research Pack,Hong Kong Living Seed,,89 USDT,13,pending_verified_license_source,
v35-seed-p037-asset-001,P037,Osaka Living Shop,physical_goods,home_living,furniture,Osaka Living Seed Modular Oak Shelf Unit,Osaka Living Seed,IKEA|Herman Miller|Muji|West Elm,185.40 USDT,26,pending_verified_license_source,
v35-seed-p037-asset-002,P037,Osaka Living Shop,physical_goods,home_living,furniture,Osaka Living Seed Compact Lounge Chair,Osaka Living Seed,IKEA|Herman Miller|Muji|West Elm,267.80 USDT,20,pending_verified_license_source,
v35-seed-p037-asset-003,P037,Osaka Living Shop,service_rights,service_rights,logistics_services,Osaka Living Seed Sourcing and Inspection Service Pass,Osaka Living Seed,,123.60 USDT,22,pending_verified_license_source,
v35-seed-p038-asset-001,P038,Sao Paulo Living Shop,physical_goods,home_living,furniture,Sao Paulo Living Seed Modular Oak Shelf Unit,Sao Paulo Living Seed,IKEA|Herman Miller|Muji|West Elm,190.80 USDT,27,pending_verified_license_source,
v35-seed-p038-asset-002,P038,Sao Paulo Living Shop,physical_goods,home_living,furniture,Sao Paulo Living Seed Compact Lounge Chair,Sao Paulo Living Seed,IKEA|Herman Miller|Muji|West Elm,275.60 USDT,21,pending_verified_license_source,
v35-seed-p038-asset-003,P038,Sao Paulo Living Shop,agent_services,agent_services,procurement_agent,Sao Paulo Living Seed Procurement Agent Research Pack,Sao Paulo Living Seed,,94.34 USDT,15,pending_verified_license_source,
v35-seed-p039-asset-001,P039,Cape Town Living Shop,physical_goods,home_living,furniture,Cape Town Living Seed Modular Oak Shelf Unit,Cape Town Living Seed,IKEA|Herman Miller|Muji|West Elm,196.20 USDT,28,pending_verified_license_source,
v35-seed-p039-asset-002,P039,Cape Town Living Shop,physical_goods,home_living,furniture,Cape Town Living Seed Compact Lounge Chair,Cape Town Living Seed,IKEA|Herman Miller|Muji|West Elm,283.40 USDT,22,pending_verified_license_source,
v35-seed-p039-asset-003,P039,Cape Town Living Shop,service_rights,service_rights,logistics_services,Cape Town Living Seed Sourcing and Inspection Service Pass,Cape Town Living Seed,,130.80 USDT,24,pending_verified_license_source,
